index,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
0,X,,,,492835,214262,484,494,477,89840,41.93,1516
1,C,,,Alameda,16662,8611,517,534,515,4696,54.53,1516
2,D,,Alameda County Office of Education,Alameda,263,95,395,378,388,6,6.32,1516
3,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,88,92,391,376,386,5,5.43,1516
4,D,,Alameda Unified,Alameda,858,472,527,543,514,301,63.77,1516
5,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,37,35,572,612,530,30,85.71,1516
6,S,Nea Community Learning Center,Alameda Unified,Alameda,25,14,,,,,,1516
7,S,Alameda High,Alameda Unified,Alameda,381,255,539,562,533,180,70.59,1516
8,S,Alameda Community Learning Center,Alameda Unified,Alameda,52,46,538,539,516,30,65.22,1516
9,S,Alternatives in Action,Alameda Unified,Alameda,31,17,366,365,359,0,0,1516
10,S,Encinal Junior/Senior High,Alameda Unified,Alameda,243,0,,,,,,1516
11,D,,Albany City Unified,Alameda,300,179,585,607,575,148,82.68,1516
12,S,Albany High,Albany City Unified,Alameda,285,179,585,607,575,148,82.68,1516
13,D,,Berkeley Unified,Alameda,922,542,561,559,553,357,65.87,1516
14,S,REALM Charter High,Berkeley Unified,Alameda,77,38,453,429,425,8,21.05,1516
15,S,Berkeley High,Berkeley Unified,Alameda,798,504,569,568,563,349,69.25,1516
16,D,,Castro Valley Unified,Alameda,789,411,535,558,531,264,64.23,1516
17,S,Castro Valley High,Castro Valley Unified,Alameda,702,410,534,558,531,263,64.15,1516
18,S,Redwood Continuation High,Castro Valley Unified,Alameda,82,1,,,,,,1516
